LAT,LON,T2M_MIN,DATE
-38,145,13.16,2006-01-07
-38,145.625,10.65,2006-01-07
-40,143.125,15.4,2006-01-08
-40,143.75,16.25,2006-01-08
-40,144.375,16.13,2006-01-08
-40,145,15.93,2006-01-08
-40,145.625,15.8,2006-01-08
-39.5,143.125,16.24,2006-01-08
-39.5,143.75,16.96,2006-01-08
-39.5,144.375,16.04,2006-01-08
-39.5,145,15.55,2006-01-08
-39.5,145.625,15.69,2006-01-08
-39,143.125,16.95,2006-01-08
-39,143.75,16.65,2006-01-08
-39,144.375,15.98,2006-01-08
-39,145,15.96,2006-01-08
-39,145.625,16.99,2006-01-08
-38.5,143.125,16.91,2006-01-08
-38.5,143.75,16.55,2006-01-08
-38.5,144.375,17.16,2006-01-08
-38.5,145,17.64,2006-01-08
-38.5,145.625,17.15,2006-01-08
-38,143.125,18.25,2006-01-08
-38,143.75,17.11,2006-01-08
-38,144.375,17.16,2006-01-08
-38,145,17.99,2006-01-08
-38,145.625,18.55,2006-01-08
-40,143.125,15.03,2006-01-09
-40,143.75,15.53,2006-01-09
-40,144.375,15.94,2006-01-09
-40,145,16.14,2006-01-09
-40,145.625,16.47,2006-01-09
-39.5,143.125,15.73,2006-01-09
-39.5,143.75,16.25,2006-01-09
-39.5,144.375,16.35,2006-01-09
-39.5,145,16.55,2006-01-09
-39.5,145.625,16.96,2006-01-09
-39,143.125,16.1,2006-01-09
-39,143.75,16.39,2006-01-09
-39,144.375,16.79,2006-01-09
-39,145,17.15,2006-01-09
-39,145.625,17.45,2006-01-09
-38.5,143.125,14.8,2006-01-09
-38.5,143.75,16.46,2006-01-09
-38.5,144.375,17.21,2006-01-09
-38.5,145,17.43,2006-01-09
-38.5,145.625,17.09,2006-01-09
-38,143.125,15.78,2006-01-09
-38,143.75,15.82,2006-01-09
-38,144.375,16.35,2006-01-09
-38,145,16.91,2006-01-09
-38,145.625,17.26,2006-01-09
-40,143.125,13.78,2006-01-10
-40,143.75,13.95,2006-01-10
-40,144.375,14.56,2006-01-10
-40,145,14.76,2006-01-10
-40,145.625,15.26,2006-01-10
-39.5,143.125,13.94,2006-01-10
-39.5,143.75,14.58,2006-01-10
-39.5,144.375,14.96,2006-01-10
-39.5,145,15.1,2006-01-10
-39.5,145.625,15.62,2006-01-10
-39,143.125,14.21,2006-01-10
-39,143.75,14.75,2006-01-10
-39,144.375,15.35,2006-01-10
-39,145,15.55,2006-01-10
-39,145.625,15.67,2006-01-10
-38.5,143.125,13.98,2006-01-10
-38.5,143.75,14.56,2006-01-10
-38.5,144.375,15.58,2006-01-10
-38.5,145,15.83,2006-01-10
-38.5,145.625,15.36,2006-01-10
-38,143.125,14.01,2006-01-10
-38,143.75,14.59,2006-01-10
-38,144.375,15.45,2006-01-10
-38,145,15.9,2006-01-10
-38,145.625,15.03,2006-01-10
-40,143.125,13.88,2006-01-11
-40,143.75,14.11,2006-01-11
-40,144.375,14.66,2006-01-11
-40,145,15.17,2006-01-11
-40,145.625,15.56,2006-01-11
-39.5,143.125,14.27,2006-01-11
-39.5,143.75,14.93,2006-01-11
-39.5,144.375,15.34,2006-01-11
-39.5,145,15.45,2006-01-11
-39.5,145.625,16.01,2006-01-11
-39,143.125,14.72,2006-01-11
-39,143.75,14.63,2006-01-11
-39,144.375,15.63,2006-01-11
-39,145,15.75,2006-01-11
-39,145.625,16.21,2006-01-11
-38.5,143.125,11.36,2006-01-11
-38.5,143.75,12.77,2006-01-11
-38.5,144.375,15.21,2006-01-11
-38.5,145,15.66,2006-01-11
-38.5,145.625,13.84,2006-01-11
-38,143.125,11.41,2006-01-11
-38,143.75,11.54,2006-01-11
-38,144.375,13.26,2006-01-11
-38,145,14.02,2006-01-11
-38,145.625,11.87,2006-01-11
-40,143.125,13.88,2006-01-12
-40,143.75,13.72,2006-01-12
-40,144.375,13.98,2006-01-12
-40,145,14.17,2006-01-12
-40,145.625,14.14,2006-01-12
-39.5,143.125,14.1,2006-01-12
-39.5,143.75,14.31,2006-01-12
-39.5,144.375,14.28,2006-01-12
-39.5,145,14.27,2006-01-12
-39.5,145.625,14.4,2006-01-12
-39,143.125,14.32,2006-01-12
-39,143.75,14,2006-01-12
-39,144.375,14.47,2006-01-12
-39,145,14.61,2006-01-12
-39,145.625,14.92,2006-01-12
-38.5,143.125,12.39,2006-01-12
-38.5,143.75,12.57,2006-01-12
