LAT,LON,T2M,DATE
-40,143.75,15.82,2006-01-07
-40,144.375,16.04,2006-01-07
-40,145,15.98,2006-01-07
-40,145.625,16.15,2006-01-07
-39.5,143.125,16.02,2006-01-07
-39.5,143.75,16.37,2006-01-07
-39.5,144.375,16.39,2006-01-07
-39.5,145,16.13,2006-01-07
-39.5,145.625,16.23,2006-01-07
-39,143.125,16.44,2006-01-07
-39,143.75,16.74,2006-01-07
-39,144.375,16.41,2006-01-07
-39,145,16.3,2006-01-07
-39,145.625,16.51,2006-01-07
-38.5,143.125,18.38,2006-01-07
-38.5,143.75,18.33,2006-01-07
-38.5,144.375,17.03,2006-01-07
-38.5,145,17.18,2006-01-07
-38.5,145.625,17.65,2006-01-07
-38,143.125,20.5,2006-01-07
-38,143.75,19.6,2006-01-07
-38,144.375,18.63,2006-01-07
-38,145,18.5,2006-01-07
-38,145.625,19.13,2006-01-07
-40,143.125,16.44,2006-01-08
-40,143.75,16.81,2006-01-08
-40,144.375,16.76,2006-01-08
-40,145,16.66,2006-01-08
-40,145.625,16.61,2006-01-08
-39.5,143.125,17.45,2006-01-08
-39.5,143.75,17.75,2006-01-08
-39.5,144.375,17.01,2006-01-08
-39.5,145,16.78,2006-01-08
-39.5,145.625,16.79,2006-01-08
-39,143.125,17.85,2006-01-08
-39,143.75,17.87,2006-01-08
-39,144.375,17.26,2006-01-08
-39,145,17.21,2006-01-08
-39,145.625,17.54,2006-01-08
-38.5,143.125,21.67,2006-01-08
-38.5,143.75,19.69,2006-01-08
-38.5,144.375,18.44,2006-01-08
-38.5,145,18.73,2006-01-08
-38.5,145.625,20.7,2006-01-08
-38,143.125,23.97,2006-01-08
-38,143.75,22.75,2006-01-08
-38,144.375,21.34,2006-01-08
-38,145,21.9,2006-01-08
-38,145.625,24.32,2006-01-08
-40,143.125,16,2006-01-09
-40,143.75,16.5,2006-01-09
-40,144.375,16.86,2006-01-09
-40,145,16.94,2006-01-09
-40,145.625,17.07,2006-01-09
-39.5,143.125,16.57,2006-01-09
-39.5,143.75,17.15,2006-01-09
-39.5,144.375,17.37,2006-01-09
-39.5,145,17.48,2006-01-09
-39.5,145.625,17.64,2006-01-09
-39,143.125,17,2006-01-09
-39,143.75,18.08,2006-01-09
-39,144.375,18.04,2006-01-09
-39,145,18.2,2006-01-09
-39,145.625,18.98,2006-01-09
-38.5,143.125,19.9,2006-01-09
-38.5,143.75,21.16,2006-01-09
-38.5,144.375,19.9,2006-01-09
-38.5,145,20.35,2006-01-09
-38.5,145.625,22.26,2006-01-09
-38,143.125,22.81,2006-01-09
-38,143.75,23.43,2006-01-09
-38,144.375,23.26,2006-01-09
-38,145,23.48,2006-01-09
-38,145.625,24.45,2006-01-09
-40,143.125,14.18,2006-01-10
-40,143.75,14.55,2006-01-10
-40,144.375,14.99,2006-01-10
-40,145,15.21,2006-01-10
-40,145.625,15.65,2006-01-10
-39.5,143.125,14.73,2006-01-10
-39.5,143.75,15.26,2006-01-10
-39.5,144.375,15.48,2006-01-10
-39.5,145,15.62,2006-01-10
-39.5,145.625,16.06,2006-01-10
-39,143.125,15.11,2006-01-10
-39,143.75,15.61,2006-01-10
-39,144.375,15.89,2006-01-10
-39,145,16.13,2006-01-10
-39,145.625,16.6,2006-01-10
-38.5,143.125,16.86,2006-01-10
-38.5,143.75,17.13,2006-01-10
-38.5,144.375,16.5,2006-01-10
-38.5,145,17.09,2006-01-10
-38.5,145.625,18.47,2006-01-10
-38,143.125,19.63,2006-01-10
-38,143.75,20.56,2006-01-10
-38,144.375,19.58,2006-01-10
-38,145,19.96,2006-01-10
-38,145.625,22.09,2006-01-10
-40,143.125,14.21,2006-01-11
-40,143.75,14.59,2006-01-11
-40,144.375,15.14,2006-01-11
-40,145,15.91,2006-01-11
-40,145.625,16.21,2006-01-11
-39.5,143.125,14.87,2006-01-11
-39.5,143.75,15.66,2006-01-11
-39.5,144.375,15.74,2006-01-11
-39.5,145,16.02,2006-01-11
-39.5,145.625,16.4,2006-01-11
-39,143.125,15.31,2006-01-11
-39,143.75,15.88,2006-01-11
-39,144.375,16.05,2006-01-11
-39,145,16.26,2006-01-11
-39,145.625,16.44,2006-01-11
-38.5,143.125,16.48,2006-01-11
-38.5,143.75,16.74,2006-01-11
-38.5,144.375,16.35,2006-01-11
-38.5,145,16.56,2006-01-11
-38.5,145.625,16.13,2006-01-11
-38,143.125,18.5,2006-01-11
-38,143.75,17.23,2006-01-11
-38,144.375,16.82,2006-01-11
-38,145,16.98,2006-01-11
-38,145.625,16.16,2006-01-11
-40,143.125,14.75,2006-01-12
-40,143.75,14.7,2006-01-12
-40,144.375,14.85,2006-01-12
-40,145,14.97,2006-01-12
-40,145.625,15.07,2006-01-12
-39.5,143.125,15.04,2006-01-12
-39.5,143.75,15.12,2006-01-12
-39.5,144.375,15.19,2006-01-12
-39.5,145,15.28,2006-01-12
-39.5,145.625,15.4,2006-01-12
-39,143.125,15.16,2006-01-12
-39,143.75,15.24,2006-01-12
-39,144.375,15.54,2006-01-12
-39,145,15.56,2006-01-12
-39,145.625,15.66,2006-01-12
-38.5,143.125,15.67,2006-01-12
-38.5,143.75,16.43,2006-01-12
-38.5,144.375,16.65,2006-01-12
-38.5,145,16.32,2006-01-12
-38.5,145.625,16.09,2006-01-12
-38,143.125,17.19,2006-01-12
-38,143.75,18.08,2006-01-12
-38,144.375,18.55,2006-01-12
-38,145,17.84,2006-01-12
-38,145.625,16.96,2006-01-12
-40,143.125,14.02,2006-01-13
-40,143.75,14.08,2006-01-13
-40,144.375,14.25,2006-01-13
-40,145,14.36,2006-01-13
-40,145.625,14.56,2006-01-13
-39.5,143.125,14.21,2006-01-13
-39.5,143.75,14.47,2006-01-13
-39.5,144.375,14.55,2006-01-13
-39.5,145,14.5,2006-01-13
-39.5,145.625,14.63,2006-01-13
-39,143.125,14.36,2006-01-13
-39,143.75,14.51,2006-01-13
-39,144.375,14.72,2006-01-13
-39,145,14.7,2006-01-13
-39,145.625,14.73,2006-01-13
-38.5,143.125,14.84,2006-01-13
-38.5,143.75,15.36,2006-01-13
-38.5,144.375,15.02,2006-01-13
-38.5,145,15.09,2006-01-13
-38.5,145.625,15.05,2006-01-13
-38,143.125,16.86,2006-01-13
-38,143.75,16.29,2006-01-13
-38,144.375,15.54,2006-01-13
-38,145,15.8,2006-01-13
-38,145.625,15.54,2006-01-13
-40,143.125,14.31,2006-01-14
-40,143.75,14.57,2006-01-14
-40,144.375,14.8,2006-01-14
-40,145,14.97,2006-01-14
-40,145.625,15.65,2006-01-14
-39.5,143.125,14.84,2006-01-14
-39.5,143.75,15.17,2006-01-14
-39.5,144.375,15.31,2006-01-14
-39.5,145,15.39,2006-01-14
-39.5,145.625,15.8,2006-01-14
-39,143.125,15.37,2006-01-14
-39,143.75,15.37,2006-01-14
-39,144.375,15.69,2006-01-14
-39,145,15.73,2006-01-14
-39,145.625,15.9,2006-01-14
-38.5,143.125,15.88,2006-01-14
-38.5,143.75,16.49,2006-01-14
-38.5,144.375,16.34,2006-01-14
-38.5,145,16.27,2006-01-14
-38.5,145.625,16.3,2006-01-14
-38,143.125,17.79,2006-01-14
-38,143.75,18.23,2006-01-14
-38,144.375,17.49,2006-01-14
-38,145,17.08,2006-01-14
-38,145.625,16.15,2006-01-14
-40,143.125,15.19,2006-01-15
-40,143.75,16.04,2006-01-15
-40,144.375,16.49,2006-01-15
-40,145,16.66,2006-01-15
-40,145.625,16.85,2006-01-15
-39.5,143.125,16.18,2006-01-15
-39.5,143.75,16.76,2006-01-15
-39.5,144.375,16.61,2006-01-15
-39.5,145,16.76,2006-01-15
-39.5,145.625,16.87,2006-01-15
-39,143.125,16.55,2006-01-15
-39,143.75,16.6,2006-01-15
-39,144.375,16.48,2006-01-15
-39,145,16.6,2006-01-15
-39,145.625,16.83,2006-01-15
-38.5,143.125,17.38,2006-01-15
-38.5,143.75,17.04,2006-01-15
-38.5,144.375,16.61,2006-01-15
-38.5,145,16.94,2006-01-15
-38.5,145.625,17.73,2006-01-15
-38,143.125,19.5,2006-01-15
-38,143.75,18.04,2006-01-15
-38,144.375,17.48,2006-01-15
-38,145,17.66,2006-01-15
-38,145.625,18.53,2006-01-15
-40,143.125,15.68,2006-01-16
-40,143.75,16.2,2006-01-16
-40,144.375,16.23,2006-01-16
-40,145,16.36,2006-01-16
-40,145.625,16.65,2006-01-16
-39.5,143.125,16.39,2006-01-16
-39.5,143.75,16.89,2006-01-16
-39.5,144.375,16.58,2006-01-16
-39.5,145,16.75,2006-01-16
-39.5,145.625,17.11,2006-01-16
-39,143.125,16.94,2006-01-16
-39,143.75,17.37,2006-01-16
-39,144.375,17,2006-01-16
-39,145,17.23,2006-01-16
-39,145.625,18.03,2006-01-16
-38.5,143.125,19.74,2006-01-16
-38.5,143.75,19.65,2006-01-16
-38.5,144.375,18.06,2006-01-16
-38.5,145,18.82,2006-01-16
-38.5,145.625,20.39,2006-01-16
-38,143.125,21.91,2006-01-16
-38,143.75,22.35,2006-01-16
-38,144.375,21.59,2006-01-16
-38,145,21.29,2006-01-16
-38,145.625,21.56,2006-01-16
-40,143.125,14.39,2006-01-17
-40,143.75,14.78,2006-01-17
-40,144.375,15.32,2006-01-17
-40,145,16.14,2006-01-17
-40,145.625,16.84,2006-01-17
-39.5,143.125,15,2006-01-17
-39.5,143.75,15.52,2006-01-17
-39.5,144.375,15.89,2006-01-17
-39.5,145,16.26,2006-01-17
-39.5,145.625,16.89,2006-01-17
-39,143.125,15.6,2006-01-17
-39,143.75,15.83,2006-01-17
-39,144.375,16.29,2006-01-17
-39,145,16.54,2006-01-17
-39,145.625,16.94,2006-01-17
-38.5,143.125,16.67,2006-01-17
-38.5,143.75,16.82,2006-01-17
-38.5,144.375,16.75,2006-01-17
-38.5,145,17.15,2006-01-17
-38.5,145.625,17.55,2006-01-17
-38,143.125,18.93,2006-01-17
-38,143.75,17.84,2006-01-17
-38,144.375,17.68,2006-01-17
-38,145,18.3,2006-01-17
-38,145.625,18.34,2006-01-17
-40,143.125,15.84,2006-01-18
-40,143.75,16.08,2006-01-18
-40,144.375,15.97,2006-01-18
-40,145,15.93,2006-01-18
-40,145.625,15.84,2006-01-18
-39.5,143.125,16.45,2006-01-18
-39.5,143.75,16.62,2006-01-18
-39.5,144.375,16.44,2006-01-18
-39.5,145,16.37,2006-01-18
-39.5,145.625,16.28,2006-01-18
-39,143.125,16.93,2006-01-18
-39,143.75,16.91,2006-01-18
-39,144.375,16.91,2006-01-18
-39,145,16.94,2006-01-18
-39,145.625,16.93,2006-01-18
-38.5,143.125,18.33,2006-01-18
-38.5,143.75,17.74,2006-01-18
-38.5,144.375,17.84,2006-01-18
-38.5,145,18.36,2006-01-18
-38.5,145.625,18.07,2006-01-18
-38,143.125,19.6,2006-01-18
-38,143.75,19.03,2006-01-18
-38,144.375,19.85,2006-01-18
-38,145,20.7,2006-01-18
-38,145.625,18.95,2006-01-18
-40,143.125,17.58,2006-01-19
-40,143.75,18.35,2006-01-19
-40,144.375,17.99,2006-01-19
-40,145,17.63,2006-01-19
-40,145.625,17.53,2006-01-19
-39.5,143.125,18.85,2006-01-19
-39.5,143.75,19.49,2006-01-19
-39.5,144.375,18.8,2006-01-19
-39.5,145,18.34,2006-01-19
-39.5,145.625,18.21,2006-01-19
-39,143.125,20.8,2006-01-19
-39,143.75,21.53,2006-01-19
-39,144.375,20.13,2006-01-19
-39,145,20.2,2006-01-19
-39,145.625,20.01,2006-01-19
-38.5,143.125,28.19,2006-01-19
-38.5,143.75,26.4,2006-01-19
-38.5,144.375,23.84,2006-01-19
-38.5,145,23.52,2006-01-19
-38.5,145.625,24.25,2006-01-19
-38,143.125,28.83,2006-01-19
-38,143.75,28.29,2006-01-19
-38,144.375,27.61,2006-01-19
-38,145,26.44,2006-01-19
-38,145.625,26.03,2006-01-19
-40,143.125,15.31,2006-01-20
-40,143.75,15.92,2006-01-20
-40,144.375,16.68,2006-01-20
-40,145,16.93,2006-01-20
-40,145.625,17.22,2006-01-20
-39.5,143.125,16.17,2006-01-20
-39.5,143.75,16.98,2006-01-20
-39.5,144.375,17.51,2006-01-20
-39.5,145,17.76,2006-01-20
-39.5,145.625,18.06,2006-01-20
-39,143.125,17.27,2006-01-20
-39,143.75,18.72,2006-01-20
-39,144.375,18.72,2006-01-20
-39,145,19.03,2006-01-20
-39,145.625,19.56,2006-01-20
-38.5,143.125,22.82,2006-01-20
-38.5,143.75,23.73,2006-01-20
-38.5,144.375,21.21,2006-01-20
-38.5,145,21.14,2006-01-20
-38.5,145.625,23.28,2006-01-20
-38,143.125,27.46,2006-01-20
-38,143.75,27.3,2006-01-20
-38,144.375,25.9,2006-01-20
-38,145,25.33,2006-01-20
-38,145.625,26.69,2006-01-20
-40,143.125,17.62,2006-01-21
-40,143.75,18.21,2006-01-21
-40,144.375,18.11,2006-01-21
-40,145,17.81,2006-01-21
-40,145.625,17.97,2006-01-21
-39.5,143.125,18.92,2006-01-21
-39.5,143.75,19.44,2006-01-21
-39.5,144.375,18.94,2006-01-21
-39.5,145,18.88,2006-01-21
-39.5,145.625,19.09,2006-01-21
-39,143.125,20.74,2006-01-21
-39,143.75,21.67,2006-01-21
-39,144.375,19.79,2006-01-21
-39,145,19.83,2006-01-21
-39,145.625,20.95,2006-01-21
-38.5,143.125,28.9,2006-01-21
-38.5,143.75,27.85,2006-01-21
-38.5,144.375,23.01,2006-01-21
-38.5,145,22.6,2006-01-21
-38.5,145.625,26.54,2006-01-21
-38,143.125,32.22,2006-01-21
-38,143.75,32.04,2006-01-21
-38,144.375,30.13,2006-01-21
-38,145,28.6,2006-01-21
-38,145.625,31.01,2006-01-21
-40,143.125,16.58,2006-01-22
-40,143.75,17.66,2006-01-22
-40,144.375,18.36,2006-01-22
-40,145,18.5,2006-01-22
-40,145.625,18.91,2006-01-22
-39.5,143.125,17.71,2006-01-22
-39.5,143.75,18.68,2006-01-22
-39.5,144.375,18.98,2006-01-22
-39.5,145,19.27,2006-01-22
-39.5,145.625,19.73,2006-01-22
-39,143.125,18.82,2006-01-22
-39,143.75,19.69,2006-01-22
-39,144.375,19.76,2006-01-22
-39,145,20.18,2006-01-22
-39,145.625,21.08,2006-01-22
-38.5,143.125,21.81,2006-01-22
-38.5,143.75,23.18,2006-01-22
-38.5,144.375,21.98,2006-01-22
-38.5,145,22.03,2006-01-22
-38.5,145.625,24.72,2006-01-22
-38,143.125,24.54,2006-01-22
-38,143.75,25.86,2006-01-22
-38,144.375,26.2,2006-01-22
-38,145,26.01,2006-01-22
-38,145.625,27.71,2006-01-22
-40,143.125,15.31,2006-01-23
-40,143.75,15.45,2006-01-23
-40,144.375,15.66,2006-01-23
-40,145,15.86,2006-01-23
-40,145.625,15.96,2006-01-23
-39.5,143.125,15.78,2006-01-23
-39.5,143.75,15.95,2006-01-23
-39.5,144.375,16.06,2006-01-23
-39.5,145,16.22,2006-01-23
-39.5,145.625,16.34,2006-01-23
-39,143.125,16.21,2006-01-23
-39,143.75,16.23,2006-01-23
-39,144.375,16.39,2006-01-23
-39,145,16.54,2006-01-23
-39,145.625,16.71,2006-01-23
-38.5,143.125,16.71,2006-01-23
-38.5,143.75,17.64,2006-01-23
-38.5,144.375,17.62,2006-01-23
-38.5,145,17.21,2006-01-23
-38.5,145.625,17.01,2006-01-23
-38,143.125,18.42,2006-01-23
-38,143.75,18.94,2006-01-23
-38,144.375,18.98,2006-01-23
-38,145,18.26,2006-01-23
-38,145.625,17.63,2006-01-23
-40,143.125,14.91,2006-01-24
-40,143.75,15.17,2006-01-24
-40,144.375,15.72,2006-01-24
-40,145,16.42,2006-01-24
-40,145.625,16.6,2006-01-24
-39.5,143.125,15.35,2006-01-24
-39.5,143.75,15.76,2006-01-24
-39.5,144.375,16.08,2006-01-24
-39.5,145,16.4,2006-01-24
-39.5,145.625,16.43,2006-01-24
-39,143.125,15.73,2006-01-24
-39,143.75,15.66,2006-01-24
-39,144.375,16.17,2006-01-24
-39,145,16.39,2006-01-24
-39,145.625,16.27,2006-01-24
-38.5,143.125,15.16,2006-01-24
-38.5,143.75,15.65,2006-01-24
-38.5,144.375,15.95,2006-01-24
-38.5,145,16.31,2006-01-24
-38.5,145.625,16.07,2006-01-24
-38,143.125,16.37,2006-01-24
-38,143.75,15.63,2006-01-24
-38,144.375,15.9,2006-01-24
-38,145,16.54,2006-01-24
-38,145.625,16.41,2006-01-24
-40,143.125,17.23,2006-01-25
-40,143.75,17.68,2006-01-25
-40,144.375,17.53,2006-01-25
-40,145,17.55,2006-01-25
-40,145.625,17.57,2006-01-25
-39.5,143.125,17.67,2006-01-25
-39.5,143.75,18.09,2006-01-25
-39.5,144.375,18.02,2006-01-25
-39.5,145,18.13,2006-01-25
-39.5,145.625,18.09,2006-01-25
-39,143.125,18.28,2006-01-25
-39,143.75,18.99,2006-01-25
-39,144.375,18.56,2006-01-25
-39,145,19.08,2006-01-25
-39,145.625,19.52,2006-01-25
-38.5,143.125,22.44,2006-01-25
-38.5,143.75,22.33,2006-01-25
-38.5,144.375,20.27,2006-01-25
-38.5,145,21.62,2006-01-25
-38.5,145.625,23.4,2006-01-25
-38,143.125,25.17,2006-01-25
-38,143.75,25.46,2006-01-25
-38,144.375,25.56,2006-01-25
-38,145,25.5,2006-01-25
-38,145.625,26.29,2006-01-25
-40,143.125,17.64,2006-01-26
-40,143.75,19.41,2006-01-26
-40,144.375,19.3,2006-01-26
-40,145,18.59,2006-01-26
-40,145.625,18.74,2006-01-26
-39.5,143.125,18.84,2006-01-26
-39.5,143.75,20.72,2006-01-26
-39.5,144.375,20.34,2006-01-26
-39.5,145,20.29,2006-01-26
-39.5,145.625,20.68,2006-01-26
-39,143.125,20.3,2006-01-26
-39,143.75,22.43,2006-01-26
-39,144.375,22.43,2006-01-26
-39,145,22.97,2006-01-26
-39,145.625,23.6,2006-01-26
-38.5,143.125,26.39,2006-01-26
-38.5,143.75,28.02,2006-01-26
-38.5,144.375,25.6,2006-01-26
-38.5,145,25.71,2006-01-26
-38.5,145.625,28.1,2006-01-26
-38,143.125,30.53,2006-01-26
-38,143.75,31.67,2006-01-26
-38,144.375,31.18,2006-01-26
-38,145,29.44,2006-01-26
-38,145.625,29.41,2006-01-26
-40,143.125,16.12,2006-01-27
-40,143.75,16.42,2006-01-27
-40,144.375,16.8,2006-01-27
-40,145,16.93,2006-01-27
-40,145.625,17.25,2006-01-27
-39.5,143.125,16.73,2006-01-27
-39.5,143.75,17.21,2006-01-27
-39.5,144.375,17.43,2006-01-27
-39.5,145,17.35,2006-01-27
-39.5,145.625,17.6,2006-01-27
-39,143.125,17.4,2006-01-27
-39,143.75,17.86,2006-01-27
-39,144.375,17.87,2006-01-27
-39,145,18.01,2006-01-27
-39,145.625,18.43,2006-01-27
-38.5,143.125,19.75,2006-01-27
-38.5,143.75,21.21,2006-01-27
-38.5,144.375,19.63,2006-01-27
-38.5,145,19.36,2006-01-27
-38.5,145.625,21.16,2006-01-27
-38,143.125,23.5,2006-01-27
-38,143.75,25.22,2006-01-27
-38,144.375,23.25,2006-01-27
-38,145,22.45,2006-01-27
-38,145.625,24.92,2006-01-27
-40,143.125,16.74,2006-01-28
-40,143.75,17.19,2006-01-28
-40,144.375,17.01,2006-01-28
-40,145,17.11,2006-01-28
-40,145.625,17.4,2006-01-28
-39.5,143.125,17.45,2006-01-28
-39.5,143.75,17.83,2006-01-28
-39.5,144.375,17.4,2006-01-28
-39.5,145,17.48,2006-01-28
-39.5,145.625,18.09,2006-01-28
-39,143.125,18.35,2006-01-28
-39,143.75,18.36,2006-01-28
-39,144.375,17.95,2006-01-28
-39,145,18.3,2006-01-28
-39,145.625,18.99,2006-01-28
-38.5,143.125,22.78,2006-01-28
-38.5,143.75,20.38,2006-01-28
-38.5,144.375,18.81,2006-01-28
