LAT,LON,WS2M,DATE
-38.5,143.125,1.01,2006-03-26
-38.5,143.75,2.25,2006-03-26
-38.5,144.375,4.37,2006-03-26
-38.5,145,3.15,2006-03-26
-38.5,145.625,0.93,2006-03-26
-38,143.125,1.68,2006-03-26
-38,143.75,2.74,2006-03-26
-38,144.375,3.41,2006-03-26
-38,145,2.62,2006-03-26
-38,145.625,0.18,2006-03-26
-40,143.125,7.35,2006-03-27
-40,143.75,7.1,2006-03-27
-40,144.375,6.84,2006-03-27
-40,145,6.41,2006-03-27
-40,145.625,5.62,2006-03-27
-39.5,143.125,7.15,2006-03-27
-39.5,143.75,6.63,2006-03-27
-39.5,144.375,6.42,2006-03-27
-39.5,145,6.12,2006-03-27
-39.5,145.625,5.64,2006-03-27
-39,143.125,6.6,2006-03-27
-39,143.75,4.96,2006-03-27
-39,144.375,5.92,2006-03-27
-39,145,5.77,2006-03-27
-39,145.625,4.48,2006-03-27
-38.5,143.125,1.29,2006-03-27
-38.5,143.75,2.76,2006-03-27
-38.5,144.375,5.31,2006-03-27
-38.5,145,4.36,2006-03-27
-38.5,145.625,1.57,2006-03-27
-38,143.125,1.87,2006-03-27
-38,143.75,3.41,2006-03-27
-38,144.375,4.16,2006-03-27
-38,145,3.64,2006-03-27
-38,145.625,0.12,2006-03-27
-40,143.125,5.32,2006-03-28
-40,143.75,6.03,2006-03-28
-40,144.375,6.76,2006-03-28
-40,145,7.24,2006-03-28
-40,145.625,7.18,2006-03-28
-39.5,143.125,5.35,2006-03-28
-39.5,143.75,5.99,2006-03-28
-39.5,144.375,6.91,2006-03-28
-39.5,145,7.77,2006-03-28
-39.5,145.625,7.81,2006-03-28
-39,143.125,4.7,2006-03-28
-39,143.75,4.43,2006-03-28
-39,144.375,6.08,2006-03-28
-39,145,6.84,2006-03-28
-39,145.625,6.01,2006-03-28
-38.5,143.125,0.89,2006-03-28
-38.5,143.75,2.19,2006-03-28
-38.5,144.375,4.25,2006-03-28
-38.5,145,4.07,2006-03-28
-38.5,145.625,1.89,2006-03-28
-38,143.125,1.14,2006-03-28
-38,143.75,2.19,2006-03-28
-38,144.375,2.54,2006-03-28
-38,145,2.58,2006-03-28
-38,145.625,0.11,2006-03-28
-40,143.125,4.86,2006-03-29
-40,143.75,4.83,2006-03-29
-40,144.375,4.7,2006-03-29
-40,145,4.84,2006-03-29
-40,145.625,5,2006-03-29
-39.5,143.125,4.98,2006-03-29
-39.5,143.75,4.89,2006-03-29
-39.5,144.375,4.73,2006-03-29
-39.5,145,4.49,2006-03-29
-39.5,145.625,4.64,2006-03-29
-39,143.125,4.46,2006-03-29
-39,143.75,3.95,2006-03-29
-39,144.375,4.79,2006-03-29
-39,145,4.58,2006-03-29
-39,145.625,3.42,2006-03-29
-38.5,143.125,0.95,2006-03-29
-38.5,143.75,2.13,2006-03-29
-38.5,144.375,4.35,2006-03-29
-38.5,145,3.64,2006-03-29
-38.5,145.625,1.19,2006-03-29
-38,143.125,1.67,2006-03-29
-38,143.75,2.72,2006-03-29
-38,144.375,3.69,2006-03-29
-38,145,3.26,2006-03-29
-38,145.625,0.1,2006-03-29
-40,143.125,7.56,2006-03-30
-40,143.75,7.22,2006-03-30
-40,144.375,7.13,2006-03-30
-40,145,7.29,2006-03-30
-40,145.625,7.61,2006-03-30
-39.5,143.125,7.16,2006-03-30
-39.5,143.75,6.97,2006-03-30
-39.5,144.375,6.76,2006-03-30
-39.5,145,6.75,2006-03-30
-39.5,145.625,6.66,2006-03-30
-39,143.125,6.09,2006-03-30
-39,143.75,5,2006-03-30
-39,144.375,5.63,2006-03-30
-39,145,5.66,2006-03-30
-39,145.625,4.89,2006-03-30
-38.5,143.125,1.17,2006-03-30
-38.5,143.75,2.27,2006-03-30
-38.5,144.375,4.4,2006-03-30
-38.5,145,3.85,2006-03-30
-38.5,145.625,1.67,2006-03-30
-38,143.125,1.32,2006-03-30
-38,143.75,2.25,2006-03-30
-38,144.375,3.24,2006-03-30
-38,145,2.87,2006-03-30
-38,145.625,0.17,2006-03-30
-40,143.125,10.89,2006-03-31
-40,143.75,11,2006-03-31
-40,144.375,11.29,2006-03-31
-40,145,11.55,2006-03-31
-40,145.625,11.55,2006-03-31
-39.5,143.125,10.76,2006-03-31
-39.5,143.75,10.88,2006-03-31
-39.5,144.375,11.2,2006-03-31
-39.5,145,11.4,2006-03-31
-39.5,145.625,11.39,2006-03-31
-39,143.125,9.76,2006-03-31
-39,143.75,8.47,2006-03-31
-39,144.375,10.52,2006-03-31
-39,145,10.67,2006-03-31
-39,145.625,9.09,2006-03-31
-38.5,143.125,2.01,2006-03-31
-38.5,143.75,4.23,2006-03-31
-38.5,144.375,8.67,2006-03-31
-38.5,145,7.9,2006-03-31
-38.5,145.625,3.08,2006-03-31
-38,143.125,2.32,2006-03-31
-38,143.75,4.07,2006-03-31
-38,144.375,6.62,2006-03-31
-38,145,6.05,2006-03-31
-38,145.625,0.2,2006-03-31
-40,143.125,8.25,2006-04-01
-40,143.75,8.75,2006-04-01
-40,144.375,9.42,2006-04-01
-40,145,9.6,2006-04-01
-40,145.625,9.19,2006-04-01
-39.5,143.125,8.09,2006-04-01
-39.5,143.75,8.59,2006-04-01
-39.5,144.375,9.32,2006-04-01
-39.5,145,9.59,2006-04-01
-39.5,145.625,9.27,2006-04-01
-39,143.125,7.39,2006-04-01
-39,143.75,6.75,2006-04-01
-39,144.375,8.91,2006-04-01
-39,145,9.2,2006-04-01
-39,145.625,7.57,2006-04-01
-38.5,143.125,1.59,2006-04-01
-38.5,143.75,3.83,2006-04-01
-38.5,144.375,8.02,2006-04-01
-38.5,145,7.11,2006-04-01
-38.5,145.625,2.72,2006-04-01
-38,143.125,1.81,2006-04-01
-38,143.75,3.8,2006-04-01
-38,144.375,6.36,2006-04-01
-38,145,5.88,2006-04-01
-38,145.625,0.21,2006-04-01
-40,143.125,4.33,2006-04-02
-40,143.75,4.75,2006-04-02
-40,144.375,5.47,2006-04-02
-40,145,6.2,2006-04-02
-40,145.625,6.53,2006-04-02
-39.5,143.125,4.07,2006-04-02
-39.5,143.75,4.54,2006-04-02
-39.5,144.375,5.23,2006-04-02
-39.5,145,5.83,2006-04-02
-39.5,145.625,6.22,2006-04-02
-39,143.125,3.39,2006-04-02
-39,143.75,3.53,2006-04-02
-39,144.375,4.81,2006-04-02
-39,145,5.26,2006-04-02
-39,145.625,4.68,2006-04-02
-38.5,143.125,0.83,2006-04-02
-38.5,143.75,1.88,2006-04-02
-38.5,144.375,3.89,2006-04-02
-38.5,145,3.62,2006-04-02
-38.5,145.625,1.56,2006-04-02
-38,143.125,0.88,2006-04-02
-38,143.75,1.52,2006-04-02
-38,144.375,2.67,2006-04-02
-38,145,2.63,2006-04-02
-38,145.625,0.26,2006-04-02
-40,143.125,2.78,2006-04-03
-40,143.75,2.9,2006-04-03
-40,144.375,3.26,2006-04-03
-40,145,4,2006-04-03
-40,145.625,4.52,2006-04-03
-39.5,143.125,2.66,2006-04-03
-39.5,143.75,2.79,2006-04-03
-39.5,144.375,3.2,2006-04-03
-39.5,145,3.69,2006-04-03
-39.5,145.625,3.82,2006-04-03
-39,143.125,1.84,2006-04-03
-39,143.75,2.04,2006-04-03
-39,144.375,2.46,2006-04-03
-39,145,2.71,2006-04-03
-39,145.625,2.64,2006-04-03
-38.5,143.125,0.61,2006-04-03
-38.5,143.75,1.13,2006-04-03
-38.5,144.375,2.05,2006-04-03
-38.5,145,1.77,2006-04-03
-38.5,145.625,0.94,2006-04-03
-38,143.125,0.6,2006-04-03
-38,143.75,0.93,2006-04-03
-38,144.375,1.2,2006-04-03
-38,145,1.22,2006-04-03
-38,145.625,0.25,2006-04-03
-40,143.125,8.48,2006-04-04
-40,143.75,7.99,2006-04-04
-40,144.375,7.58,2006-04-04
-40,145,7.53,2006-04-04
-40,145.625,7.5,2006-04-04
-39.5,143.125,8.2,2006-04-04
-39.5,143.75,7.58,2006-04-04
-39.5,144.375,6.99,2006-04-04
-39.5,145,6.84,2006-04-04
-39.5,145.625,6.43,2006-04-04
-39,143.125,6.71,2006-04-04
-39,143.75,5.04,2006-04-04
-39,144.375,5.26,2006-04-04
-39,145,5.15,2006-04-04
-39,145.625,4.47,2006-04-04
-38.5,143.125,1.2,2006-04-04
-38.5,143.75,2.11,2006-04-04
-38.5,144.375,4.04,2006-04-04
-38.5,145,3.47,2006-04-04
-38.5,145.625,1.5,2006-04-04
-38,143.125,1.32,2006-04-04
-38,143.75,2.32,2006-04-04
-38,144.375,2.86,2006-04-04
-38,145,2.42,2006-04-04
-38,145.625,0.13,2006-04-04
-40,143.125,12.42,2006-04-05
-40,143.75,12.32,2006-04-05
-40,144.375,12.36,2006-04-05
-40,145,12.45,2006-04-05
-40,145.625,12.62,2006-04-05
-39.5,143.125,12.23,2006-04-05
-39.5,143.75,12.19,2006-04-05
-39.5,144.375,12.3,2006-04-05
-39.5,145,12.44,2006-04-05
-39.5,145.625,12.34,2006-04-05
-39,143.125,10.94,2006-04-05
-39,143.75,9.24,2006-04-05
-39,144.375,11.26,2006-04-05
-39,145,11.49,2006-04-05
-39,145.625,9.84,2006-04-05
-38.5,143.125,2.2,2006-04-05
-38.5,143.75,4.51,2006-04-05
-38.5,144.375,9.17,2006-04-05
-38.5,145,8.5,2006-04-05
-38.5,145.625,3.32,2006-04-05
-38,143.125,2.59,2006-04-05
-38,143.75,5.15,2006-04-05
-38,144.375,7.15,2006-04-05
-38,145,6.55,2006-04-05
-38,145.625,0.23,2006-04-05
-40,143.125,11.64,2006-04-06
-40,143.75,11.94,2006-04-06
-40,144.375,12.42,2006-04-06
-40,145,13.07,2006-04-06
-40,145.625,13.46,2006-04-06
-39.5,143.125,11.5,2006-04-06
-39.5,143.75,11.81,2006-04-06
-39.5,144.375,12.35,2006-04-06
-39.5,145,12.86,2006-04-06
-39.5,145.625,13.18,2006-04-06
-39,143.125,10.25,2006-04-06
-39,143.75,9.14,2006-04-06
-39,144.375,11.53,2006-04-06
-39,145,11.9,2006-04-06
-39,145.625,10.51,2006-04-06
-38.5,143.125,2.14,2006-04-06
-38.5,143.75,4.54,2006-04-06
-38.5,144.375,9.13,2006-04-06
-38.5,145,8.48,2006-04-06
-38.5,145.625,3.5,2006-04-06
-38,143.125,2.59,2006-04-06
-38,143.75,4.79,2006-04-06
-38,144.375,6.78,2006-04-06
-38,145,6.38,2006-04-06
-38,145.625,0.23,2006-04-06
-40,143.125,10.42,2006-04-07
-40,143.75,10.81,2006-04-07
-40,144.375,11.43,2006-04-07
-40,145,12.08,2006-04-07
-40,145.625,12.23,2006-04-07
-39.5,143.125,9.99,2006-04-07
-39.5,143.75,10.41,2006-04-07
-39.5,144.375,11.04,2006-04-07
-39.5,145,11.5,2006-04-07
-39.5,145.625,11.86,2006-04-07
-39,143.125,8.75,2006-04-07
-39,143.75,8.08,2006-04-07
-39,144.375,10.31,2006-04-07
-39,145,10.65,2006-04-07
-39,145.625,9.39,2006-04-07
-38.5,143.125,1.78,2006-04-07
-38.5,143.75,4.03,2006-04-07
-38.5,144.375,8.32,2006-04-07
-38.5,145,7.77,2006-04-07
-38.5,145.625,3.19,2006-04-07
-38,143.125,2.02,2006-04-07
-38,143.75,3.54,2006-04-07
-38,144.375,5.92,2006-04-07
-38,145,5.8,2006-04-07
-38,145.625,0.21,2006-04-07
-40,143.125,8.66,2006-04-08
-40,143.75,9.3,2006-04-08
-40,144.375,10.15,2006-04-08
-40,145,10.93,2006-04-08
-40,145.625,11.29,2006-04-08
-39.5,143.125,8.27,2006-04-08
-39.5,143.75,8.94,2006-04-08
-39.5,144.375,9.82,2006-04-08
-39.5,145,10.48,2006-04-08
-39.5,145.625,10.97,2006-04-08
-39,143.125,7.09,2006-04-08
-39,143.75,6.9,2006-04-08
-39,144.375,9.11,2006-04-08
-39,145,9.67,2006-04-08
-39,145.625,8.66,2006-04-08
-38.5,143.125,1.42,2006-04-08
-38.5,143.75,3.45,2006-04-08
-38.5,144.375,7.35,2006-04-08
-38.5,145,7,2006-04-08
-38.5,145.625,2.88,2006-04-08
-38,143.125,1.58,2006-04-08
-38,143.75,2.89,2006-04-08
-38,144.375,5.12,2006-04-08
-38,145,5.24,2006-04-08
-38,145.625,0.18,2006-04-08
-40,143.125,3.69,2006-04-09
-40,143.75,3.59,2006-04-09
-40,144.375,3.85,2006-04-09
-40,145,4.38,2006-04-09
-40,145.625,4.77,2006-04-09
-39.5,143.125,3.54,2006-04-09
-39.5,143.75,3.45,2006-04-09
-39.5,144.375,3.7,2006-04-09
-39.5,145,4.13,2006-04-09
-39.5,145.625,4.51,2006-04-09
-39,143.125,3.09,2006-04-09
-39,143.75,2.79,2006-04-09
-39,144.375,3.59,2006-04-09
-39,145,3.79,2006-04-09
-39,145.625,3.44,2006-04-09
-38.5,143.125,0.94,2006-04-09
-38.5,143.75,1.65,2006-04-09
-38.5,144.375,3.1,2006-04-09
-38.5,145,2.82,2006-04-09
-38.5,145.625,1.26,2006-04-09
-38,143.125,1.09,2006-04-09
-38,143.75,1.73,2006-04-09
-38,144.375,2.37,2006-04-09
-38,145,2.4,2006-04-09
-38,145.625,0.26,2006-04-09
-40,143.125,8.26,2006-04-10
-40,143.75,7.43,2006-04-10
-40,144.375,7.07,2006-04-10
-40,145,6.68,2006-04-10
-40,145.625,6.2,2006-04-10
-39.5,143.125,7.88,2006-04-10
-39.5,143.75,6.73,2006-04-10
-39.5,144.375,6.82,2006-04-10
-39.5,145,6.85,2006-04-10
-39.5,145.625,5.9,2006-04-10
-39,143.125,6.55,2006-04-10
-39,143.75,4.81,2006-04-10
-39,144.375,6.48,2006-04-10
-39,145,6.15,2006-04-10
-39,145.625,4.3,2006-04-10
-38.5,143.125,1.25,2006-04-10
-38.5,143.75,2.89,2006-04-10
-38.5,144.375,5.52,2006-04-10
-38.5,145,4.28,2006-04-10
-38.5,145.625,1.47,2006-04-10
-38,143.125,1.89,2006-04-10
-38,143.75,3.81,2006-04-10
-38,144.375,4.22,2006-04-10
-38,145,3.38,2006-04-10
-38,145.625,0.11,2006-04-10
-40,143.125,10.61,2006-04-11
-40,143.75,10.21,2006-04-11
-40,144.375,9.43,2006-04-11
-40,145,8.55,2006-04-11
-40,145.625,8.78,2006-04-11
-39.5,143.125,10.1,2006-04-11
-39.5,143.75,9.45,2006-04-11
-39.5,144.375,8.65,2006-04-11
-39.5,145,8.56,2006-04-11
-39.5,145.625,8.43,2006-04-11
-39,143.125,8.45,2006-04-11
-39,143.75,6.39,2006-04-11
-39,144.375,7.25,2006-04-11
-39,145,7.64,2006-04-11
-39,145.625,6.45,2006-04-11
-38.5,143.125,1.64,2006-04-11
-38.5,143.75,3.35,2006-04-11
-38.5,144.375,6.76,2006-04-11
-38.5,145,5.9,2006-04-11
-38.5,145.625,2.2,2006-04-11
-38,143.125,2.23,2006-04-11
-38,143.75,4.58,2006-04-11
-38,144.375,5.77,2006-04-11
-38,145,4.81,2006-04-11
-38,145.625,0.16,2006-04-11
-40,143.125,7.85,2006-04-12
-40,143.75,7.66,2006-04-12
-40,144.375,7.41,2006-04-12
-40,145,7.48,2006-04-12
-40,145.625,7.82,2006-04-12
-39.5,143.125,7.68,2006-04-12
-39.5,143.75,7.25,2006-04-12
-39.5,144.375,6.98,2006-04-12
-39.5,145,6.83,2006-04-12
-39.5,145.625,6.4,2006-04-12
-39,143.125,6.37,2006-04-12
-39,143.75,4.85,2006-04-12
-39,144.375,5.1,2006-04-12
-39,145,4.78,2006-04-12
-39,145.625,4.04,2006-04-12
-38.5,143.125,1.15,2006-04-12
-38.5,143.75,2.03,2006-04-12
-38.5,144.375,3.02,2006-04-12
-38.5,145,2.66,2006-04-12
-38.5,145.625,1.38,2006-04-12
-38,143.125,1.16,2006-04-12
-38,143.75,2.05,2006-04-12
-38,144.375,2.28,2006-04-12
-38,145,2.08,2006-04-12
-38,145.625,0.26,2006-04-12
-40,143.125,6.76,2006-04-13
-40,143.75,6.16,2006-04-13
-40,144.375,5.2,2006-04-13
-40,145,4.76,2006-04-13
-40,145.625,4.99,2006-04-13
-39.5,143.125,6.14,2006-04-13
-39.5,143.75,5.27,2006-04-13
-39.5,144.375,4.4,2006-04-13
-39.5,145,4.11,2006-04-13
-39.5,145.625,3.99,2006-04-13
-39,143.125,4.96,2006-04-13
-39,143.75,3.38,2006-04-13
-39,144.375,3.44,2006-04-13
-39,145,3.55,2006-04-13
-39,145.625,3.06,2006-04-13
-38.5,143.125,1.01,2006-04-13
-38.5,143.75,1.9,2006-04-13
-38.5,144.375,3.28,2006-04-13
-38.5,145,2.92,2006-04-13
-38.5,145.625,1.18,2006-04-13
-38,143.125,1.38,2006-04-13
-38,143.75,2.81,2006-04-13
-38,144.375,3.44,2006-04-13
-38,145,2.88,2006-04-13
-38,145.625,0.13,2006-04-13
-40,143.125,9.35,2006-04-14
-40,143.75,9.29,2006-04-14
-40,144.375,9.24,2006-04-14
-40,145,9.28,2006-04-14
-40,145.625,9.31,2006-04-14
-39.5,143.125,9.38,2006-04-14
-39.5,143.75,9.3,2006-04-14
-39.5,144.375,9.34,2006-04-14
-39.5,145,9.22,2006-04-14
-39.5,145.625,9.13,2006-04-14
-39,143.125,8.6,2006-04-14
-39,143.75,7.29,2006-04-14
-39,144.375,8.77,2006-04-14
-39,145,8.72,2006-04-14
-39,145.625,7.25,2006-04-14
-38.5,143.125,1.68,2006-04-14
-38.5,143.75,3.47,2006-04-14
-38.5,144.375,7.22,2006-04-14
-38.5,145,6.56,2006-04-14
-38.5,145.625,2.42,2006-04-14
-38,143.125,2,2006-04-14
-38,143.75,3.48,2006-04-14
-38,144.375,5.34,2006-04-14
-38,145,5,2006-04-14
-38,145.625,0.17,2006-04-14
-40,143.125,7.08,2006-04-15
-40,143.75,7.6,2006-04-15
-40,144.375,8.41,2006-04-15
-40,145,9.13,2006-04-15
-40,145.625,9.53,2006-04-15
-39.5,143.125,6.81,2006-04-15
-39.5,143.75,7.38,2006-04-15
-39.5,144.375,8.25,2006-04-15
-39.5,145,8.87,2006-04-15
-39.5,145.625,9.27,2006-04-15
-39,143.125,5.93,2006-04-15
-39,143.75,5.83,2006-04-15
-39,144.375,7.85,2006-04-15
-39,145,8.34,2006-04-15
-39,145.625,7.36,2006-04-15
-38.5,143.125,1.28,2006-04-15
-38.5,143.75,3.05,2006-04-15
-38.5,144.375,6.61,2006-04-15
-38.5,145,6.12,2006-04-15
-38.5,145.625,2.49,2006-04-15
-38,143.125,1.45,2006-04-15
-38,143.75,2.56,2006-04-15
-38,144.375,4.75,2006-04-15
-38,145,4.63,2006-04-15
-38,145.625,0.16,2006-04-15
-40,143.125,5.25,2006-04-16
-40,143.75,4.67,2006-04-16
-40,144.375,4.48,2006-04-16
-40,145,4.67,2006-04-16
-40,145.625,4.97,2006-04-16
-39.5,143.125,4.82,2006-04-16
-39.5,143.75,4.38,2006-04-16
-39.5,144.375,4.43,2006-04-16
-39.5,145,4.49,2006-04-16
-39.5,145.625,4.46,2006-04-16
-39,143.125,4.2,2006-04-16
-39,143.75,3.63,2006-04-16
-39,144.375,4.41,2006-04-16
-39,145,3.93,2006-04-16
-39,145.625,3.28,2006-04-16
-38.5,143.125,0.88,2006-04-16
-38.5,143.75,1.88,2006-04-16
-38.5,144.375,3.77,2006-04-16
-38.5,145,3.19,2006-04-16
-38.5,145.625,1.3,2006-04-16
-38,143.125,0.95,2006-04-16
-38,143.75,1.78,2006-04-16
-38,144.375,2.66,2006-04-16
-38,145,2.52,2006-04-16
-38,145.625,0.17,2006-04-16
-40,143.125,10.53,2006-04-17
-40,143.75,9.9,2006-04-17
-40,144.375,10,2006-04-17
-40,145,9.8,2006-04-17
-40,145.625,9.56,2006-04-17
-39.5,143.125,9.75,2006-04-17
-39.5,143.75,9.2,2006-04-17
-39.5,144.375,9.84,2006-04-17
-39.5,145,9.88,2006-04-17
-39.5,145.625,8.91,2006-04-17
-39,143.125,8.28,2006-04-17
-39,143.75,6.71,2006-04-17
-39,144.375,8.96,2006-04-17
-39,145,8.79,2006-04-17
-39,145.625,6.36,2006-04-17
-38.5,143.125,1.76,2006-04-17
-38.5,143.75,3.99,2006-04-17
-38.5,144.375,7.98,2006-04-17
-38.5,145,6.87,2006-04-17
-38.5,145.625,2.28,2006-04-17
-38,143.125,2.85,2006-04-17
-38,143.75,5.46,2006-04-17
-38,144.375,6.43,2006-04-17
-38,145,5.93,2006-04-17
-38,145.625,0.17,2006-04-17
-40,143.125,11.85,2006-04-18
-40,143.75,11.79,2006-04-18
-40,144.375,11.05,2006-04-18
-40,145,10.15,2006-04-18
-40,145.625,10.31,2006-04-18
-39.5,143.125,11.7,2006-04-18
-39.5,143.75,10.85,2006-04-18
-39.5,144.375,9.78,2006-04-18
-39.5,145,9.65,2006-04-18
-39.5,145.625,9.83,2006-04-18
-39,143.125,10.19,2006-04-18
-39,143.75,7.25,2006-04-18
-39,144.375,8.52,2006-04-18
-39,145,9.13,2006-04-18
-39,145.625,7.78,2006-04-18
-38.5,143.125,2.02,2006-04-18
-38.5,143.75,3.99,2006-04-18
-38.5,144.375,8.02,2006-04-18
-38.5,145,6.98,2006-04-18
-38.5,145.625,2.67,2006-04-18
-38,143.125,2.57,2006-04-18
-38,143.75,4.97,2006-04-18
-38,144.375,5.76,2006-04-18
-38,145,5.2,2006-04-18
-38,145.625,0.19,2006-04-18
-40,143.125,10.66,2006-04-19
-40,143.75,10.44,2006-04-19
-40,144.375,10.12,2006-04-19
-40,145,9.81,2006-04-19
-40,145.625,10.58,2006-04-19
-39.5,143.125,10.88,2006-04-19
-39.5,143.75,10.51,2006-04-19
-39.5,144.375,9.95,2006-04-19
-39.5,145,10.09,2006-04-19
-39.5,145.625,10.79,2006-04-19
-39,143.125,9.96,2006-04-19
-39,143.75,7.5,2006-04-19
-39,144.375,8.97,2006-04-19
-39,145,10.02,2006-04-19
-39,145.625,8.79,2006-04-19
-38.5,143.125,1.95,2006-04-19
-38.5,143.75,4.12,2006-04-19
-38.5,144.375,8.7,2006-04-19
-38.5,145,8.02,2006-04-19
-38.5,145.625,3.04,2006-04-19
-38,143.125,2.83,2006-04-19
-38,143.75,5.81,2006-04-19
-38,144.375,7.35,2006-04-19
-38,145,6.61,2006-04-19
-38,145.625,0.23,2006-04-19
-40,143.125,10.48,2006-04-20
-40,143.75,10.38,2006-04-20
-40,144.375,10.49,2006-04-20
-40,145,10.59,2006-04-20
-40,145.625,10.99,2006-04-20
-39.5,143.125,10.59,2006-04-20
-39.5,143.75,10.51,2006-04-20
-39.5,144.375,10.67,2006-04-20
-39.5,145,10.81,2006-04-20
-39.5,145.625,10.85,2006-04-20
-39,143.125,9.78,2006-04-20
-39,143.75,8.06,2006-04-20
-39,144.375,9.59,2006-04-20
-39,145,9.79,2006-04-20
-39,145.625,8.5,2006-04-20
-38.5,143.125,1.83,2006-04-20
-38.5,143.75,3.73,2006-04-20
-38.5,144.375,7.79,2006-04-20
-38.5,145,7.32,2006-04-20
-38.5,145.625,2.84,2006-04-20
-38,143.125,2.29,2006-04-20
-38,143.75,4.45,2006-04-20
-38,144.375,6.13,2006-04-20
-38,145,5.59,2006-04-20
-38,145.625,0.21,2006-04-20
-40,143.125,6.87,2006-04-21
-40,143.75,6.67,2006-04-21
-40,144.375,6.81,2006-04-21
-40,145,7.11,2006-04-21
-40,145.625,7.47,2006-04-21
-39.5,143.125,6.74,2006-04-21
-39.5,143.75,6.64,2006-04-21
-39.5,144.375,6.92,2006-04-21
-39.5,145,7.12,2006-04-21
-39.5,145.625,7.29,2006-04-21
-39,143.125,5.98,2006-04-21
-39,143.75,5.3,2006-04-21
-39,144.375,6.6,2006-04-21
-39,145,6.72,2006-04-21
-39,145.625,5.74,2006-04-21
-38.5,143.125,1.22,2006-04-21
-38.5,143.75,2.61,2006-04-21
-38.5,144.375,5.42,2006-04-21
-38.5,145,4.96,2006-04-21
-38.5,145.625,1.96,2006-04-21
-38,143.125,1.3,2006-04-21
-38,143.75,2.38,2006-04-21
-38,144.375,3.75,2006-04-21
-38,145,3.56,2006-04-21
-38,145.625,0.21,2006-04-21
-40,143.125,9.34,2006-04-22
-40,143.75,9.41,2006-04-22
-40,144.375,9.64,2006-04-22
-40,145,9.82,2006-04-22
-40,145.625,10.3,2006-04-22
-39.5,143.125,9.21,2006-04-22
-39.5,143.75,9.34,2006-04-22
-39.5,144.375,9.62,2006-04-22
-39.5,145,9.84,2006-04-22
-39.5,145.625,10.05,2006-04-22
-39,143.125,8.21,2006-04-22
-39,143.75,7.1,2006-04-22
-39,144.375,8.7,2006-04-22
-39,145,8.93,2006-04-22
-39,145.625,7.75,2006-04-22
-38.5,143.125,1.47,2006-04-22
-38.5,143.75,3.22,2006-04-22
-38.5,144.375,6.7,2006-04-22
-38.5,145,6.06,2006-04-22
-38.5,145.625,2.47,2006-04-22
-38,143.125,1.69,2006-04-22
-38,143.75,3.38,2006-04-22
-38,144.375,4.78,2006-04-22
-38,145,4.22,2006-04-22
-38,145.625,0.16,2006-04-22
-40,143.125,4.97,2006-04-23
-40,143.75,5.06,2006-04-23
-40,144.375,5.46,2006-04-23
-40,145,5.9,2006-04-23
-40,145.625,6.31,2006-04-23
-39.5,143.125,4.9,2006-04-23
-39.5,143.75,5.05,2006-04-23
-39.5,144.375,5.5,2006-04-23
-39.5,145,5.78,2006-04-23
-39.5,145.625,6.13,2006-04-23
-39,143.125,4.24,2006-04-23
-39,143.75,4.07,2006-04-23
-39,144.375,5.35,2006-04-23
-39,145,5.55,2006-04-23
-39,145.625,4.81,2006-04-23
-38.5,143.125,0.88,2006-04-23
-38.5,143.75,2.05,2006-04-23
-38.5,144.375,4.37,2006-04-23
-38.5,145,3.94,2006-04-23
-38.5,145.625,1.65,2006-04-23
-38,143.125,0.88,2006-04-23
-38,143.75,1.64,2006-04-23
-38,144.375,2.88,2006-04-23
-38,145,2.69,2006-04-23
-38,145.625,0.16,2006-04-23
-40,143.125,3.4,2006-04-24
-40,143.75,3.37,2006-04-24
-40,144.375,3.5,2006-04-24
-40,145,3.41,2006-04-24
-40,145.625,3.8,2006-04-24
-39.5,143.125,3.49,2006-04-24
-39.5,143.75,3.37,2006-04-24
-39.5,144.375,3.39,2006-04-24
-39.5,145,3.41,2006-04-24
-39.5,145.625,3.68,2006-04-24
-39,143.125,3.25,2006-04-24
-39,143.75,2.77,2006-04-24
-39,144.375,3.44,2006-04-24
-39,145,3.49,2006-04-24
-39,145.625,3.14,2006-04-24
-38.5,143.125,0.8,2006-04-24
-38.5,143.75,1.56,2006-04-24
-38.5,144.375,3.22,2006-04-24
-38.5,145,2.97,2006-04-24
-38.5,145.625,1.24,2006-04-24
-38,143.125,0.78,2006-04-24
-38,143.75,1.45,2006-04-24
-38,144.375,2.15,2006-04-24
-38,145,2.15,2006-04-24
-38,145.625,0.15,2006-04-24
-40,143.125,6.2,2006-04-25
-40,143.75,6.64,2006-04-25
-40,144.375,7.04,2006-04-25
-40,145,7.13,2006-04-25
-40,145.625,7.24,2006-04-25
-39.5,143.125,5.7,2006-04-25
-39.5,143.75,6.1,2006-04-25
-39.5,144.375,6.77,2006-04-25
-39.5,145,7.32,2006-04-25
-39.5,145.625,7.4,2006-04-25
-39,143.125,4.33,2006-04-25
-39,143.75,4.31,2006-04-25
-39,144.375,5.55,2006-04-25
-39,145,6.01,2006-04-25
-39,145.625,5.31,2006-04-25
-38.5,143.125,0.81,2006-04-25
-38.5,143.75,1.81,2006-04-25
-38.5,144.375,3.69,2006-04-25
-38.5,145,3.31,2006-04-25
-38.5,145.625,1.53,2006-04-25
-38,143.125,0.8,2006-04-25
-38,143.75,1.33,2006-04-25
-38,144.375,1.74,2006-04-25
-38,145,1.84,2006-04-25
-38,145.625,0.09,2006-04-25
