DATE,SST,LON,LAT
2006-01-09,18.92428571,144.875,-38.375
2006-01-09,19.87714286,144.875,-38.125
2006-01-09,20.17142857,145.125,-38.125
2006-01-09,20.21714286,144.875,-37.875
2006-01-16,16.77857143,143.125,-39.875
2006-01-16,17.01428571,143.375,-39.875
2006-01-16,17.25285714,143.625,-39.875
2006-01-16,17.23142857,144.375,-39.875
2006-01-16,17.16571429,144.625,-39.875
2006-01-16,17.24714286,144.875,-39.875
2006-01-16,17.35142857,145.125,-39.875
2006-01-16,17.42,145.375,-39.875
2006-01-16,17.44714286,145.625,-39.875
2006-01-16,17.16714286,143.125,-39.625
2006-01-16,17.36428571,143.375,-39.625
2006-01-16,17.52857143,143.625,-39.625
2006-01-16,17.52714286,144.375,-39.625
2006-01-16,17.50714286,144.625,-39.625
2006-01-16,17.58142857,144.875,-39.625
2006-01-16,17.68714286,145.125,-39.625
2006-01-16,17.71142857,145.375,-39.625
2006-01-16,17.73,145.625,-39.625
2006-01-16,17.56714286,143.125,-39.375
2006-01-16,17.72,143.375,-39.375
2006-01-16,17.80857143,143.625,-39.375
2006-01-16,17.84,143.875,-39.375
2006-01-16,17.83857143,144.125,-39.375
2006-01-16,17.79857143,144.375,-39.375
2006-01-16,17.80142857,144.625,-39.375
2006-01-16,17.91,144.875,-39.375
2006-01-16,18.02285714,145.125,-39.375
2006-01-16,18.00714286,145.375,-39.375
2006-01-16,17.97285714,145.625,-39.375
2006-01-16,17.91,143.125,-39.125
2006-01-16,18.07857143,143.375,-39.125
2006-01-16,18.10428571,143.625,-39.125
2006-01-16,18.11857143,143.875,-39.125
2006-01-16,18.12428571,144.125,-39.125
2006-01-16,18.08571429,144.375,-39.125
2006-01-16,18.05428571,144.625,-39.125
2006-01-16,18.16714286,144.875,-39.125
2006-01-16,18.28857143,145.125,-39.125
2006-01-16,18.27428571,145.375,-39.125
2006-01-16,18.24571429,145.625,-39.125
2006-01-16,18.11428571,143.125,-38.875
2006-01-16,18.31428571,143.375,-38.875
2006-01-16,18.36571429,143.625,-38.875
2006-01-16,18.44,143.875,-38.875
2006-01-16,18.41571429,144.125,-38.875
2006-01-16,18.36428571,144.375,-38.875
2006-01-16,18.33285714,144.625,-38.875
2006-01-16,18.41857143,144.875,-38.875
2006-01-16,18.51285714,145.125,-38.875
2006-01-16,18.53142857,145.375,-38.875
